,character_id,character_name,num_of_comics,num_of_series,num_of_stories,num_of_events
1185,1009610,Spider-Man,3918,989,5898,38
1472,1009726,X-Men,3432,828,5092,42
573,1009368,Iron Man,2561,626,3880,31
1453,1009718,Wolverine,2470,663,3457,42
185,1009220,Captain America,2362,651,3503,31
77,1009165,Avengers,1884,566,2711,34
1311,1009664,Thor,1758,506,2667,27
524,1009351,Hulk,1657,470,2541,26
388,1009299,Fantastic Four,1401,379,2259,24
536,1009356,Human Torch,1189,286,1849,20
281,1009262,Daredevil,1168,289,1867,17
268,1009257,Cyclops,973,282,1086,29
1308,1009662,Thing,931,240,1179,23
297,1009268,Deadpool,844,236,1060,15
329,1009282,Doctor Strange,831,275,1056,22
1231,1009629,Storm,829,209,966,30
92,1009175,Beast,810,217,901,30
562,1009366,Invisible Woman,725,177,951,20
989,1009515,Punisher,721,199,924,9
243,1009243,Colossus,693,169,846,27
121,1009187,Black Panther,645,213,866,17
494,1009338,Hawkeye,633,204,686,19
1050,1009546,Rogue,616,159,769,25
895,1009472,Nightcrawler,614,182,724,17
847,1009459,Mr. Fantastic,586,179,779,20
1239,1010791,Sub-Mariner,574,178,790,14
546,1009362,Iceman,573,164,663,22
61,1009159,Archangel,562,140,621,20
1402,1009697,Vision,549,160,625,15
126,1009189,Black Widow,548,208,630,16
887,1009471,Nick Fury,526,197,597,10
1084,1009562,Scarlet Witch,524,175,595,17
1146,1009592,Silver Surfer,519,168,763,13
196,1010338,Captain Marvel (Carol Danvers),505,175,603,16
423,1009313,Gambit,480,124,608,14
741,1009417,Magneto,455,166,489,21
1122,1009583,She-Hulk (Jennifer Walters),452,147,524,15
172,1009214,Cable,423,115,589,12
973,1009504,Professor X,422,135,425,15
1423,1009707,Wasp,412,159,468,14
323,1009281,Doctor Doom,411,198,483,13
982,1009512,Psylocke,404,98,474,21
770,1009708,Mary Jane Watson,396,84,432,9
366,1009310,Emma Frost,392,130,442,17
567,1009367,Iron Fist (Danny Rand),391,113,443,11
713,1009215,Luke Cage,381,131,398,15
701,1009407,Loki,374,157,441,9
1002,1009524,Quicksilver,372,131,394,11
470,1011299,Guardians of the Galaxy,334,97,367,9
493,1009337,Havok,331,97,375,14
649,1009508,Kitty Pryde,322,120,336,14
870,1009466,Namor,306,117,350,16
1470,1009724,X-Force,305,46,515,8
1066,1009554,Sabretooth,302,111,317,8
112,1009182,Bishop,293,66,373,8
441,1009318,Ghost Rider (Johnny Blaze),291,76,409,6
183,1009219,Cannonball,287,77,318,12
508,1009343,Hercules,281,101,324,12
584,1009372,J. Jonah Jameson,277,76,304,13
332,1009277,Domino,269,71,308,10
1324,1010360,Thunderbolts,268,39,413,11
1279,1009652,Thanos,268,125,293,8
1194,1016181,Spider-Man (Miles Morales),260,75,272,2
1458,1009719,Wonder Man,260,92,313,8
958,1009499,Polaris,259,68,301,10
881,1011336,New Mutants,259,50,437,16
1199,1009608,Spider-Woman (Jessica Drew),252,89,265,14
833,1009452,Moon Knight,250,77,311,6
647,1009389,Kingpin,248,93,293,7
559,1009365,Inhumans,248,113,275,12
620,1009381,Jubilee,245,58,280,10
482,1011490,Hank Pym,241,90,332,8
421,1009312,Galactus,227,107,251,9
1464,1009722,X-23,219,57,234,5
1113,1009577,Shang-Chi,216,51,225,6
599,1009327,Jean Grey,215,99,231,13
1420,1009705,Warpath,214,45,256,5
915,1009480,Odin,213,84,261,7
1446,1010740,Winter Soldier,208,100,221,11
309,1011023,Defenders,208,40,273,3
30,1010370,Alpha Flight,207,39,377,7
293,1009267,Dazzler,206,69,270,11
377,1010771,Excalibur,199,32,295,5
622,1009382,Juggernaut,198,87,224,9
198,1009224,Captain Marvel (Mar-Vell),197,73,290,6
359,1009288,Elektra,196,57,277,9
1468,1010738,X-Factor,195,39,252,10
1246,1009638,Sunspot,195,58,218,12
946,1009491,Peter Parker,193,34,202,4
384,1009297,Falcon,193,72,226,7
906,1009325,Norman Osborn,192,81,221,5
10,1010354,Adam Warlock,188,82,217,8
1182,1009609,Spider-Girl (May Parker),188,37,301,1
865,1009465,Mystique,187,66,216,10
1037,1009379,Rick Jones,183,41,250,5
909,1009477,Nova,179,63,252,11
80,1009168,Banshee,179,52,200,10
857,1017577,Ms. Marvel (Kamala Khan),178,60,180,2
1027,1009535,Red Skull,177,86,208,7
192,1009223,Captain Britain,172,53,235,8
1138,1009588,Sif,170,47,181,2
352,1010787,Eddie Brock,170,71,168,1
117,1009185,Black Cat,166,62,193,5
788,1009438,Medusa,165,79,175,10
787,1009490,May Parker,165,39,182,5
115,1009184,Black Bolt,161,71,174,10
1064,1009552,S.H.I.E.L.D.,159,74,186,1
819,1010682,Misty Knight,159,55,174,6
326,1009276,Doctor Octopus,155,58,169,4
604,1009378,Jessica Jones,155,52,171,9
81,1009596,Banshee (Theresa Rourke),151,31,172,6
414,1009539,Franklin Richards,151,51,204,8
33,1011227,Amadeus Cho,146,33,171,5
409,1009309,Forge,146,43,166,9
378,1009294,Exiles,146,26,215,2
542,1009359,Hydra,142,76,144,3
752,1009420,Man-Thing,141,49,174,2
1120,1009580,Shatterstar,135,34,160,5
1158,1009599,Skrulls,131,61,140,5
1062,1010747,Runaways,130,36,162,1
169,1009212,Bullseye,128,59,139,4
1450,1009717,Wolfsbane,128,32,155,6
209,1009227,Carnage,128,61,139,2
961,1010770,Power Pack,127,35,154,4
1360,1010803,Ultimates,126,34,134,1
164,1009167,Bruce Banner,126,31,176,7
1328,1009670,Tigra (Greer Nelson),124,43,145,12
630,1009384,Kang,124,54,148,3
628,1011081,Ka-Zar,124,45,140,1
